vid,720p,480p
15889356419215902748,http://vd4.bdstatic.com/mda-kj9qjaqj3152q3ga/sc/mda-kj9qjaqj3152q3ga.mp4,http://vd4.bdstatic.com/mda-kj9qjaqj3152q3ga/hd/mda-kj9qjaqj3152q3ga.mp4
10378293832623158010,http://vd2.bdstatic.com/mda-kjju418x8z3mn1nz/sc/cae_h264_nowatermark/1603196165/mda-kjju418x8z3mn1nz.mp4,http://vd2.bdstatic.com/mda-kjju418x8z3mn1nz/hd/cae_h264_nowatermark/1603196165/mda-kjju418x8z3mn1nz.mp4
7521462417116709961,http://vd3.bdstatic.com/mda-ki9v9i67nzbnb9x6/v1-cae/sc/mda-ki9v9i67nzbnb9x6.mp4,http://vd3.bdstatic.com/mda-ki9v9i67nzbnb9x6/v1-cae/hd/mda-ki9v9i67nzbnb9x6.mp4
14425120005979886645,http://vd4.bdstatic.com/mda-khiwaaxuinqjrfsc/sc/mda-khiwaaxuinqjrfsc.mp4,http://vd4.bdstatic.com/mda-khiwaaxuinqjrfsc/hd/mda-khiwaaxuinqjrfsc.mp4
9197043828390151443,http://vd2.bdstatic.com/mda-kiun6hv61gw3x8te/v1-cae/sc/mda-kiun6hv61gw3x8te.mp4,http://vd2.bdstatic.com/mda-kiun6hv61gw3x8te/v1-cae/hd/mda-kiun6hv61gw3x8te.mp4
4500601275916339911,http://vd3.bdstatic.com/mda-kk2j0cr88pmxjgj5/sc/cae_h264_nowatermark/1604381865/mda-kk2j0cr88pmxjgj5.mp4,http://vd3.bdstatic.com/mda-kk2j0cr88pmxjgj5/hd/cae_h264_nowatermark/1604381865/mda-kk2j0cr88pmxjgj5.mp4
8922204322647613583,http://vd2.bdstatic.com/mda-kjnbhrhfcs3x5ggv/sc/mda-kjnbhrhfcs3x5ggv.mp4,http://vd2.bdstatic.com/mda-kjnbhrhfcs3x5ggv/hd/mda-kjnbhrhfcs3x5ggv.mp4
4160271361259498504,http://vd3.bdstatic.com/mda-kk4p0ctbae24b64b/sc/cae_h264_nowatermark/1604706335/mda-kk4p0ctbae24b64b.mp4,http://vd3.bdstatic.com/mda-kk4p0ctbae24b64b/hd/cae_h264_nowatermark/1604706335/mda-kk4p0ctbae24b64b.mp4
15723281124694404283,http://vd2.bdstatic.com/mda-ki6fchs2j182prmf/v1-cae/sc/mda-ki6fchs2j182prmf.mp4,http://vd2.bdstatic.com/mda-ki6fchs2j182prmf/v1-cae/hd/mda-ki6fchs2j182prmf.mp4
10558479521891072575,http://vd4.bdstatic.com/mda-khhprq7tka0wraf4/sc/cae_h264/mda-khhprq7tka0wraf4.mp4,http://vd4.bdstatic.com/mda-khhprq7tka0wraf4/hd/cae_h264/mda-khhprq7tka0wraf4.mp4
2462952654375752378,http://vd4.bdstatic.com/mda-kjima0vyrz773guc/sc/mda-kjima0vyrz773guc.mp4,http://vd4.bdstatic.com/mda-kjima0vyrz773guc/hd/mda-kjima0vyrz773guc.mp4
16460854248142808170,http://vd2.bdstatic.com/mda-kicv02jfghjxv2gu/v1-cae/sc/mda-kicv02jfghjxv2gu.mp4,http://vd2.bdstatic.com/mda-kicv02jfghjxv2gu/v1-cae/hd/mda-kicv02jfghjxv2gu.mp4
15484502581175387709,http://vd2.bdstatic.com/mda-kih15jafp9i3t50q/sc/cae_h264_nowatermark/mda-kih15jafp9i3t50q.mp4,http://vd2.bdstatic.com/mda-kih15jafp9i3t50q/hd/cae_h264_nowatermark/mda-kih15jafp9i3t50q.mp4
7825307359433124072,http://vd4.bdstatic.com/mda-kipewn5494st7pvc/sc/cae_h264_nowatermark/mda-kipewn5494st7pvc.mp4,http://vd4.bdstatic.com/mda-kipewn5494st7pvc/hd/cae_h264_nowatermark/mda-kipewn5494st7pvc.mp4
10113602119789635930,http://vd2.bdstatic.com/mda-kierp2dnnebdvkm8/sc/cae_h264_nowatermark/mda-kierp2dnnebdvkm8.mp4,http://vd2.bdstatic.com/mda-kierp2dnnebdvkm8/hd/cae_h264_nowatermark/mda-kierp2dnnebdvkm8.mp4